"市町村","タイトル","所在地","緯度","経度","写真1","写真2","写真3","写真4","写真5","写真6","写真7","写真8","写真9","写真10","連絡先","分類","災害種別","備考"
"","太刀野山地域多目的施設（旧太刀野山小学校）","三好市三野町太刀野山３７０６","34.07171","133.939224","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。
建物の２階に避難してください。"
"","東谷地域多目的施設(旧東谷小学校）","三好市三野町太刀野山５５８","34.064819","133.970834","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震","運用方式については，状況により，自主防災会等住民の協力を得る。
建物の２階に避難してください。"
"","王地小学校","三好市三野町加茂野宮１３９３","34.051324","133.989362","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","三野体育館","三好市三野町芝生１０２８－２８","34.051648","133.963997","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","活性化センター紅葉の郷","三好市三野町加茂野宮１８０３－７","34.057339","133.987879","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","宮奧分館","三好市井川町井内東１３－１","33.988639","133.882222","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","東分館","三好市井川町井内東３３１８","33.998819","133.886892","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","恵泉館","三好市山城町政友６５－２","33.972251","133.735179","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","西ノ浦分館","三好市井川町井内西４５０１","33.997626","133.872546","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","杉ノ木分館","三好市井川町井内西５２５７－２","34.006952","133.882378","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","安田分館","三好市井川町井内西６８３４－３","34.015613","133.873281","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","旭分館","三好市井川町才長谷３７－１","34.032831","133.889019","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","辻小学校体育館","三好市井川町辻５３－１","34.028201","133.879146","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","三好市井川公民館","三好市井川町辻７３","34.028674","133.879563","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。
建物の２階以上に避難してください。"
"","ふるさと交流センター","三好市井川町岡の前６４","34.027954","133.876882","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,地震","運用方式については，状況により，自主防災会等住民の協力を得る。
建物の２階以上に避難してください。"
"","井川中学校体育館","三好市井川町タクミ田１００－２","34.028977","133.8684","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","辻高校体育館","三好市井川町御領田６１－１","34.028385","133.874838","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。
避難所は体育館の２階部分"
"","なでしこ館","三好市井川町西井川６４７－１","34.031112","133.842897","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","霊山寺集会所","鳴門市大麻町板東字西山田32","34.159275","134.501667","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫","避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○"
"","女法寺公会堂","三好市井川町西井川１２４１－２","34.033021","133.859323","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","西井川小学校体育館","三好市井川町西井川７３４－３","34.032468","133.845825","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","老人憩いの家白寿荘","三好市井川町西井川４５３－３","34.028443","133.841826","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","井ノ久保活性化センター","三好市池田町白地井ノ久保９６６－１","34.017449","133.767056","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","馬路小学校　体育館","三好市池田町馬路字立石３３－１","34.009646","133.735418","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。
建物の２階以上（垂直避難）に避難してください。"
"","長江集会所","鳴門市大津町長江字東大黒1-2","34.150507","134.607067","","","","","","","","","","","088-684-1330","指定避難所（法指定）","","避難所"
"","公民館漆川分館","三好市池田町漆川坊岡８３７","33.99409","133.828108","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","下野呂内地域交流センター","三好市池田町西山中塚１０９３","34.061064","133.795384","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","北嶺活性化センター","三好市池田町西山落１６８０","34.050064","133.827925","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","吉永集会所","鳴門市大津町吉永128-2","34.166266","134.596054","","","","","","","","","","","088-684-1330","指定避難所（法指定）","","避難所"
"","西山地域多目的施設（西山小学校・体育館）","三好市池田町西山岡屋敷３５６３－１","34.044026","133.805577","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","箸蔵小学校・体育館","三好市池田町州津井関１２０９","34.037022","133.837148","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","公民館イタノ分館","三好市池田町イタノ３３２８－８","34.023098","133.786005","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","堂浦ふれあい会館","鳴門市瀬戸町堂浦字地廻り弐266","34.218997","134.587318","","","","","","","","","","","088-688-0530","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,内水氾濫","避難所"
"","鳴門高等学校（体育館）","鳴門市撫養町斎田字岩崎135-1","34.179209729499","134.600511077761","","","","","","","","","","","088-685-3217","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,地震,津波,内水氾濫","避難所"
"","池田高校体育館","三好市池田町ウエノ２８３４","34.030827","133.804363","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","三好市中央公民館","三好市池田町シンマチ２６７６","34.029616","133.807724","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","三好市保健センター","池田町シンマチ1476-1","34.026155","133.809872","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","北浜老人憩いの家","鳴門市撫養町北浜字宮の東4-2","34.180694","134.614003","","","","","","","","","","","088-684-1175","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,内水氾濫","避難所"
"","立岩集会所","鳴門市撫養町立岩字原田2-1","34.1778628252931","134.622730047779","","","","","","","","","","","088-684-1148","指定避難所（法指定）","","避難所"
"","木屋平小学校","美馬市木屋平字谷口235","33.914997","134.175639","","","","","","","","","","","0883-68-3004","指定緊急避難場所（法指定）,指定避難所（法指定）","地震",""
"","つるぎの里","美馬市木屋平字谷口257-4","33.915345","134.177517","","","","","","","","","","","0883-68-3030","指定緊急避難場所（法指定）,指定避難所（法指定）","地震",""
"","川井集会所","美馬市木屋平字川井224","33.934916","134.21231","","","","","","","","","","","0883-68-2111","指定緊急避難場所（法指定）,指定避難所（法指定）","地震",""
"","老人福祉センター","鳴門市撫養町南浜字東浜27-3","34.170913","134.611238","","","","","","","","","","","088-686-3732","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,内水氾濫","避難所"
"","新野中学校","阿南市新野町馬見21","33.844328","134.579515","","","","","","","","","","","0884-36-2040","指定避難所（法指定）","",""
"","吉井小学校","阿南市吉井町原18-2","33.922477","134.559098","","","","","","","","","","","0884-25-0210","指定避難所（法指定）","",""
"","延野体育館","那賀町延野字王子原116番地","33.820729","134.478278","","","","","","","","","","","","指定避難所（法定外）","",""
"","美馬中学校","美馬市美馬町字谷ヨリ西68","34.053033","134.04928","","","","","","","","","","","0883-63-2013","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","障害者優先避難所すみれ","阿波市市場町香美字西原245","34.0744614716293","134.278919906764","","","","","","","","","","","0883-36-6660","指定緊急避難場所（法定外）,指定避難所（法指定）,福祉避難所（法指定）","崖崩れ等,地震",""
"","老人優先避難所みどり","阿波市市場町香美字秋葉本80-1","34.0851521722099","134.283892644181","","","","","","","","","","","0883-36-7771","指定緊急避難場所（法定外）,指定避難所（法指定）,福祉避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","阿波西高等学校（体育館）","阿波市阿波町下喜来南228-1","34.0871595845199","134.264377015859","","","","","","","","","","","0883-35-3131","指定緊急避難場所（法定外）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","阿波久勝公民館","阿波市阿波町庚申原218-1","34.0833300544318","134.250896804896","","","","","","","","","","","0883-36-8742","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","久勝小学校（体育館）","阿波市阿波町森沢28","34.0850098856941","134.251808721563","","","","","","","","","","","0883-36-8741","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","吉野中学校（体育館）","阿波市吉野町西条字大西4-1","34.0988393891212","134.369464083328","","","","","","","","","","","0883-36-8741","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫",""
"","西麻植小学校・体育館","吉野川市鴨島町西麻植絵馬堂85番地2","34.0684272010815","134.339285334562","","","","","","","","","","","0883-22-2273","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,大規模な火事,内水氾濫",""
"","平野体育館","那賀町平野字妙見前3番地","33.838269","134.452443","","","","","","","","","","","","指定避難所（法定外）","",""
"","城戸下浦高開集落センター","吉野川市美郷字下浦284番地1","34.009257","134.257129","","","","","","","","","","","0883-22-2111","指定避難所（法指定）","",""
"","美郷中学校・体育館","吉野川市美郷字川俣51番地","34.031074","134.256728","","","","","","","","","","","0883-22-2272","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,地震,大規模な火事,内水氾濫","地震はグラウンドのみ"
"","種野小学校","吉野川市美郷字川俣47番地","34.03132","134.256866","","","","","","","","","","","0883-22-2272","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,地震,大規模な火事,内水氾濫",""
"","瀬詰教育集会所","吉野川市山川町諏訪411番地26","34.066687","134.250411","","","","","","","","","","","0883-22-2271","指定避難所（法指定）","",""
"","八坂会館","吉野川市山川町安楽寺182番地","34.055344","134.245916","","","","","","","","","","","0883-22-2229","指定避難所（法指定）","",""
"","あすみが丘集会所","阿南市羽ノ浦町岩脇奥ノ谷6-214","33.949412","134.614567","","","","","","","","","","","0884-44-1807","指定避難所（法指定）","",""
"","川島公民館学西分館","吉野川市川島町学字西出目226番地１","34.059106","134.273772","","","","","","","","","","","0883-22-2271","指定避難所（法指定）","",""
"","もみじ川ふれあい館","那賀町西納字上平間3番地1","33.830462","134.418068","","","","","","","","","","","","指定避難所（法定外）","",""
"","文化研修センター","吉野川市鴨島町鴨島696番地14","34.075075","134.355766","","","","","","","","","","","0883-22-0015","指定避難所（法指定）","",""
"","森山小学校・体育館","吉野川市鴨島町山路1086番地","34.062908","134.37011","","","","","","","","","","","0883-22-2273","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","明神菅谷集会所","鳴門市瀬戸町堂浦字本浦中32-2","34.205432","134.573454","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","地震","避難所"
"","明神越浦集会所","鳴門市瀬戸町明神字越浦334-7","34.202938","134.583965","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震,内水氾濫","避難所"
"","撫養小学校（体育館）","鳴門市撫養町斎田字岩崎72","34.17683541","134.6014874","","","","","","","","","","","088-685-1316","指定緊急避難場所（法指定）,指定避難所（法指定）","地震","避難所"
"","明神集会所","鳴門市瀬戸町明神字下本城242","34.208262","134.578845","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,高潮,内水氾濫","避難所"
"","本庄公会堂","阿南市長生町油免８４","33.914891458784","134.629647929765","","","","","","","","","","","","指定避難所（法指定）","",""
"","明神小学校（体育館）","鳴門市瀬戸町明神字越浦70","34.2019308683277","134.580394913482","","","","","","","","","","","088-688-0532","指定緊急避難場所（法指定）,指定避難所（法指定）","地震","避難所"
"","鳴門東地区コミュニティセンター","鳴門市鳴門町土佐泊浦字脇口23-3","34.192833","134.623252","","","","","","","","","","","088-687-0993","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,高潮,内水氾濫","避難所"
"","林崎集会所","鳴門市撫養町林崎字南殿町28-2","34.1769627195296","134.614255203703","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,地震,内水氾濫","避難所"
"","林崎小学校（体育館）","鳴門市撫養町立岩字内田73-1","34.17625196","134.6161333","","","","","","","","","","","088-686-2469","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,地震,内水氾濫","避難所"
"","聖母幼稚園","鳴門市撫養町黒崎字松島208","34.188363","134.60041","","","","","","","","","","","088-685-0079","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,内水氾濫","避難所"
"","黒崎集会所","鳴門市撫養町黒崎字清水52-1","34.189202","134.597162","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,地震,内水氾濫","避難所"
"","みなと高等学園","中田町字新開28-1","34.015099","134.583144","","","","","","","","","","","0885-34-9100","指定緊急避難場所（法定外）,指定避難所（法定外）","津波","災害種別「津波」については法定外"
"","山川体育館","吉野川市山川町大塚152番地","34.060908","134.233414","","","","","","","","","","","0883-22-2271","指定避難所（法指定）","",""
"","鳴門・大塚スポーツパーク（武道館）","鳴門市撫養町立岩字四枚61","34.1678102","134.6153064","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,地震,内水氾濫","避難所"
"","相生体育館","那賀町延野字大原138番地","33.822548","134.482248","","","","","","","","","","","","指定避難所（法定外）","",""
"","日野谷西公民館","那賀町朴野字宮ノ西40番地","33.796553","134.424505","","","","","","","","","","","","指定避難所（法定外）","",""
"","相生ふるさと交流館","那賀町横石字大板34番地","33.798006","134.452121","","","","","","","","","","","","指定避難所（法定外）","",""
"","桧西集会所","鳴門市大麻町桧字ダンノ上32-4","34.154025","134.491341","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,内水氾濫","避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○"
"","鳴門・大塚スポーツパーク（アミノバリューホール）","鳴門市撫養町立岩字四枚61","34.16899971","134.6154352","","","","","","","","","","","088-685-3131","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,地震,津波,内水氾濫","津波避難ビル　　避難所"
"","日野谷友愛館","那賀町大久保字中西28番地1","33.794698","134.443731","","","","","","","","","","","","指定避難所（法定外）","",""
"","相生中学校","那賀町延野字大原100番地","33.821692","134.482226","","","","","","","","","","","","指定避難所（法定外）","",""
"","弁財天集会所","鳴門市撫養町弁財天字三ツ井丁4-2","34.179962","134.617876","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,内水氾濫","避難所"
"","備前島集会所","鳴門市大津町備前島字荒神の越164-3","34.162431","134.579344","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,内水氾濫","避難所 ※洪水の緊急避難場所　新池川○　旧吉野川○"
"","大須集会所","鳴門市北灘町大須字西添25","34.20509","134.451271","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,内水氾濫","避難所"
"","明神北集会所（集会所）","鳴門市瀬戸町堂浦字地廻り壱10-1","34.211571","134.577557","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,高潮,地震,内水氾濫","避難所"
"","立岩塩浜集会所","鳴門市撫養町立岩字元地196","34.172253","134.617329","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,内水氾濫","避難所"
"","北灘東小学校（体育館）","鳴門市北灘町粟田字西傍示228-1","34.22459047","134.5406287","","","","","","","","","","","088-682-0222","指定緊急避難場所（法指定）,指定避難所（法指定）","地震,津波","避難所"
"","阿南市文化会館","阿南市富岡町西池田135-1","33.915694","134.656069","","","","","","","","","","","0884-21-0808","指定緊急避難場所（法指定）,指定避難所（法指定）","津波",""
"","矢倉集会所","鳴門市大津町矢倉字弐ノ越34-3","34.154048","134.586704","","","","","","","","","","","088-684-1330","指定避難所（法指定）","","避難所"
"","桑島老人憩いの家","鳴門市撫養町大桑島字中之組30","34.185723","134.606757","","","","","","","","","","","088-684-1175","指定緊急避難場所（法指定）,指定避難所（法指定）","地震","避難所"
"","市民会館","鳴門市撫養町南浜字東浜170","34.173012","134.608993","","","","","","","","","","","088-686-8804","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,高潮,内水氾濫","避難所"
"","新町小学校","徳島市東山手町2丁目25番地","34.068729","134.545602","","","","","","","","","","","","指定避難所（法指定）","",""
"","入体構造改善センター","三好市池田町西山古野２３６７","34.044997","133.821157","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","鷲敷小学校","那賀町和食字町117番地1","33.859666","134.499914","","","","","","","","","","","","指定避難所（法定外）","",""
"","吾橋小学校・体育館","三好市西祖谷山村吾橋３０３","33.866313","133.786835","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震","運用方式については，状況により，自主防災会等住民の協力を得る。
建物の３階へ避難してください。（建物の３階が体育館）"
"","鷲敷中学校","那賀町和食郷字南川119番地","33.857186","134.494951","","","","","","","","","","","","指定避難所（法定外）","",""
"","黒山集会所","鳴門市鳴門町土佐泊浦字黒山118-295","34.2099127892167","134.624334749307","","","","","","","","","","","088-684-1330","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,高潮,内水氾濫","避難所"
"","旧助小学校講堂","那賀町木頭助字蔭","33.78909","134.221805","","","","","","","","","","","","指定避難所（法定外）","",""
"","木頭体育館","那賀町木頭和無田字ソ子24番地","33.772072","134.199017","","","","","","","","","","","","指定避難所（法定外）","",""
"","木頭小・中学校","那賀町木頭和無田字ナカスジ1番地","33.772958","134.198309","","","","","","","","","","","","指定避難所（法定外）","",""
"","伊座利校","海部郡美波町伊座利２２１","33.805967","134.66957","","","","","","","","","","","","指定緊急避難場所（法定外）,指定避難所（法定外）","洪水,崖崩れ等,高潮,地震,津波,大規模な火事,内水氾濫",""
"","交流促進施設（イザリcaf?)","海部郡美波町伊座利３０１-２","33.802633","134.669072","","","","","","","","","","","","指定緊急避難場所（法定外）,指定避難所（法定外）","洪水,崖崩れ等,高潮,地震,大規模な火事,内水氾濫",""
"","北川体育館","那賀町木頭北川字イモジ屋敷7番地","33.772593","134.099926","","","","","","","","","","","","指定避難所（法定外）","",""
"","木頭診療所","那賀町木頭和無田字イワツシ1番地","33.770194","134.196528","","","","","","","","","","","","指定避難所（法定外）","",""
"","交流拠点施設（にぎわいの館）","海部郡美波町伊座利２２０","33.806201","134.669879","","","","","","","","","","","","指定緊急避難場所（法定外）,指定避難所（法定外）","洪水,崖崩れ等,高潮,地震,津波,大規模な火事,内水氾濫",""
"","木頭文化会館","那賀町木頭和無田字マツギ40番地","33.769739","134.196743","","","","","","","","","","","","指定避難所（法定外）","",""
"","出原集会施設","那賀町木頭出原字シモマチ36番地2","33.771674","134.201699","","","","","","","","","","","","指定避難所（法定外）","",""
"","川切集会施設","那賀町木頭出原字モリニシ58番地1","33.771273","134.205498","","","","","","","","","","","","指定避難所（法定外）","",""
"","四季美谷温泉","那賀町横谷字夏切3番地3","33.863244","134.250848","","","","","","","","","","","","指定避難所（法定外）","",""
"","木沢デイサービスセンター","那賀町木頭字前田52番地1","33.824214","134.302368","","","","","","","","","","","","指定避難所（法定外）","",""
"","名古ノ瀬公民館","那賀町掛盤字名古ノ瀬8番地1","33.853533","134.285009","","","","","","","","","","","","指定避難所（法定外）","",""
"","深森公民館","那賀町深森字ツツジナロ20番地","33.783802","134.352129","","","","","","","","","","","","指定避難所（法定外）","",""
"","桜谷公民館","那賀町桜谷字東畑11番地1","33.798831","134.381413","","","","","","","","","","","","指定避難所（法定外）","",""
"","上那賀公民館","那賀町小浜196番地","33.805254","134.373136","","","","","","","","","","","","指定避難所（法定外）","",""
"","上那賀東体育館","那賀町小浜字立石字164番地2","33.804853","134.373651","","","","","","","","","","","","指定避難所（法定外）","",""
"","海川集会所","那賀町海川字ヲフウチ55番地","33.780503","134.253488","","","","","","","","","","","","指定避難所（法定外）","",""
"","上那賀中学校","那賀町小浜197番地","33.804969","134.372663","","","","","","","","","","","","指定避難所（法定外）","",""
"","西納体育館","那賀町西納字上平間3番地","33.830426","134.417896","","","","","","","","","","","","指定避難所（法定外）","",""
"","もみじ川温泉","那賀町大久保字西納野4番地7","33.797623","134.44622","","","","","","","","","","","","指定避難所（法定外）","",""
"","保健センター","那賀町大久保字大西3番地2","33.791541","134.443806","","","","","","","","","","","","指定避難所（法定外）","",""
"","相生雄公民館","那賀町雄字かんばら17番地","33.805754","134.473472","","","","","","","","","","","","指定避難所（法定外）","",""
"","鷲敷中央公民館","那賀町和食郷字南川19番地3","33.859217","134.497118","","","","","","","","","","","","指定避難所（法定外）","",""
"","延野保育園","那賀町延野字王子原89番地1","33.820872","134.47566","","","","","","","","","","","","指定避難所（法定外）","",""
"","平野コミュニティ","那賀町平野字妙見前1番地1","33.837191","134.452003","","","","","","","","","","","","指定避難所（法定外）","",""
"","鷲の里観光物産センター","那賀町和食郷字田野82","33.863042","134.501681","","","","","","","","","","","","指定避難所（法定外）","",""
"","那賀町地域子育て支援センター","那賀町阿井字寺西7番地","33.848986","134.480723","","","","","","","","","","","","指定避難所（法定外）","",""
"","那賀町阿井交流センター","那賀町阿井字杉の久保7番地4","33.849786","134.479697","","","","","","","","","","","","指定避難所（法定外）","",""
"","西祖谷消防団第六分団詰所","三好市西祖谷山村小祖谷","33.935815","133.892331","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","那賀高等学校体育館","那賀町小仁宇大坪179-1","33.857587","134.48154","","","","","","","","","","","","指定避難所（法定外）","",""
"","祖谷の歴史館ホール","三好市東祖谷山村京上１４－３","33.868176","133.906376","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","大宮公民館","那賀町鮎川字西宮9番地1","33.82846","134.470682","","","","","","","","","","","","指定避難所（法定外）","",""
"","西宇地域多目的施設　体育館","三好市山城町西宇１２２６－３","33.913379","133.758349","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","三好市大野体育館","三好市山城町大野","33.965745","133.714858","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","河内分館","三好市山城町光兼４９０","33.931049","133.721808","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","大野分館","三好市山城町大野５１３","33.965541","133.713594","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","栃之瀬地域多目的施設（旧栃之瀬小学校・体育館）","三好市東祖谷山村新居屋７３","33.855528","133.893056","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震","運用方式については，状況により，自主防災会等住民の協力を得る。
建物の２階へ避難してください。（建物の２階が体育館）"
"","芝生小学校太刀野分校","三好市三野町太刀野９７０","34.048055","133.953273","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","三野老人福祉センター","三好市三野町芝生１０３６","34.041896","133.971203","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。
建物の２階に避難してください。"
"","相生公民館","那賀町平野字吉内谷36番地","33.833599","134.43635","","","","","","","","","","","","指定避難所（法定外）","",""
"","吹分館","三好市井川町井内東５７６７","34.016526","133.884007","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","高齢者コミュニティセンター野住の家","三好市井川町井内西２４５３","33.988481","133.860041","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","三好市池田総合体育館","三好市池田町マチ２５５１－１","34.028169","133.798518","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。"
"","緑の村管理センター","三好市池田町松尾黒川２－１","33.958567","133.820761","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等","運用方式については，状況により，自主防災会等住民の協力を得る。
避難については、建物の２階以上に避難（垂直避難）してください。"
"","西井川保育所","三好市井川町西井川３８３","34.029417","133.840044","","","","","","","","","","","","指定避難所（法指定）","","運用方式については，状況により，自主防災会等住民の協力を得る。"
